['580598: cncbarrier_f.p3d', 384]
['579906: concrete_smallwall_4m_f.p3d', 1637]
['579511: mound01_8m_f.p3d', 1687]
['580738: mound01_8m_f.p3d', 17]
['19958040100# 580963: i_addon_03_v1_f.p3d Land_i_Addon_03_V1_F', 606]
['580619: stone_8m_f.p3d', 234]
['580877: atm_02_f.p3d', 751]
['580891: pavement_wide_f.p3d', 904]
['580680: wreck_car2_f.p3d', 212]
['581009: pavement_narrow_f.p3d', 107]
['580623: stone_8m_f.p3d', 287]
['580731: mound02_8m_f.p3d', 29]
['582315: mound02_8m_f.p3d', 1035]
['579886: stone_8m_f.p3d', 1302]
['580849: pavement_wide_f.p3d', 1411]
['581651: b_ficusc1s_f.p3d', 1455]
['579523: b_ficusc1s_f.p3d', 1477]
['579453: b_ficusc1s_f.p3d', 1830]
['582301: b_ficusc1s_f.p3d', 956]
['579847: pavement_narrow_f.p3d', 376]
['1995802f580# 580902: u_house_big_01_v1_f.p3d Land_u_House_Big_01_V1_F', 519]
['580908: stone_pillar_f.p3d', 941]
['580730: mound02_8m_f.p3d', 11]
['580863: b_ficusc1s_f.p3d', 458]
['579569: t_ficusb2s_f.p3d', 198]
['580880: pallet_vertical_f.p3d', 780]
['580761: t_ficusb1s_f.p3d', 73]
['581392: b_ficusc1s_f.p3d', 705]
['582334: t_ficusb2s_f.p3d', 841]
['582492: t_ficusb1s_f.p3d', 1036]
['579926: stone_4m_f.p3d', 1157]
['1784723: kestrel_f.p3d Kestrel_Random_F', 1202]
['579592: mound01_8m_f.p3d', 1206]
['580002: mound01_8m_f.p3d', 1365]
['580003: mound01_8m_f.p3d', 1369]
['579731: mound01_8m_f.p3d', 1604]
['579385: city_pillar_f.p3d', 1811]
['579479: stone_8m_f.p3d', 1840]
['579784: b_neriumo2s_white_f.p3d', 1857]
['581424: mound01_8m_f.p3d', 796]
['581098: stone_8m_f.p3d', 450]
['580655: b_ficusc1s_f.p3d', 182]
['19957e98100# 579894: u_house_big_02_v1_f.p3d Land_u_House_Big_02_V1_F', 162]
['581413: b_ficusc1s_f.p3d', 578]
['581367: cratesplastic_f.p3d', 571]
['580806: bricks_v1_f.p3d', 391]
['580637: stone_4m_f.p3d', 290]
['581222: mound01_8m_f.p3d', 74]
['580628: stone_8m_f.p3d', 224]
['582263: b_ficusc1s_f.p3d', 1022]
['580741: metalbarrel_f.p3d', 1102]
['581750: stone_pillar_f.p3d', 1264]
['581701: b_ficusc1s_f.p3d', 1265]
['19957e9ab00# 579564: i_stone_housesmall_v3_f.p3d Land_i_Stone_HouseSmall_V3_F', 1308]
['1787574: kestrel_f.p3d Kestrel_Random_F', 1343]
['579750: b_ficusc2s_f.p3d', 1440]
['581652: b_ficusc1s_f.p3d', 1461]
['581082: stone_pillar_f.p3d', 475]
['581042: stone_8m_f.p3d', 427]
['581165: b_ficusc1s_f.p3d', 546]
['581021: b_ficusc1s_f.p3d', 122]
['580916: stone_8m_f.p3d', 582]
['581020: b_ficusc1s_f.p3d', 113]
['582319: stone_8m_f.p3d', 925]
['581364: b_ficusc1s_f.p3d', 405]
['581120: stone_8m_f.p3d', 474]
['579545: b_ficusc1s_f.p3d', 1123]
['579971: b_ficusc1s_f.p3d', 1252]
['579567: barrelsand_f.p3d', 1313]
['1787422: kestrel_f.p3d Kestrel_Random_F', 1339]
['581642: b_ficusc1s_f.p3d', 1674]
['579558: mound01_8m_f.p3d', 1755]
['579608: b_ficusc1s_f.p3d', 191]
['580947: city_pillar_f.p3d', 862]
['580711: hbarrier_1_f.p3d', 3]
['580784: stone_8md_f.p3d', 180]
['581468: b_ficusc1s_f.p3d', 593]
['580945: lampdecor_off_f.p3d', 627]
['580660: b_ficusc1s_f.p3d', 242]
['582251: b_ficusc1s_f.p3d', 884]
['580958: b_ficusc1s_f.p3d', 558]
['582288: t_ficusb1s_f.p3d', 916]
['1992d108b80# 580968: lampstreet_small_f.p3d Land_LampStreet_small_F', 746]
['582374: b_ficusc1s_f.p3d', 1039]
['1783830: kestrel_f.p3d Kestrel_Random_F', 1151]
['579993: b_ficusc1s_f.p3d', 1154]
['1787927: kestrel_f.p3d Kestrel_Random_F', 1361]
['1789492: kestrel_f.p3d Kestrel_Random_F', 1447]
['579883: stone_8m_f.p3d', 1467]
['579538: mound02_8m_f.p3d', 1574]
['579873: cages_f.p3d', 1619]
['579597: mound01_8m_f.p3d', 192]
['1992d0f2b00# 580966: i_house_small_01_v3_f.p3d Land_i_House_Small_01_V3_F', 554]
['580845: pavement_wide_f.p3d', 742]
['580541: t_ficusb2s_f.p3d', 363]
['582461: t_oleae1s_f.p3d', 814]
['580889: pavement_wide_f.p3d', 908]
['582321: stone_8m_f.p3d', 950]
['581418: b_ficusc2s_f.p3d', 639]
['582427: b_ficusc1s_f.p3d', 805]
['582219: stone_8m_f.p3d', 889]
['580937: chairplastic_f.p3d', 690]
['580625: stone_8m_f.p3d', 163]
['580804: woodenbox_f.p3d', 165]
['1780072: kestrel_f.p3d Kestrel_Random_F', 314]
['1782230: kestrel_f.p3d Kestrel_Random_F', 1026]
['582371: b_ficusc1s_f.p3d', 1053]
['1992d10f580# 580549: powerpolewooden_l_f.p3d Land_PowerPoleWooden_L_F', 1110]
['581740: stone_8m_f.p3d', 1165]
['579697: b_ficusc1s_f.p3d', 1428]
['51951: signt_stop.p3d', 1823]
['580794: t_quercusir2s_f.p3d', 374]
['580829: pavement_narrow_f.p3d', 459]
['580639: pavement_narrow_f.p3d', 460]
['19957cc3580# 579835: u_house_small_01_v1_f.p3d Land_u_House_Small_01_V1_F', 432]
['581212: b_ficusc1s_f.p3d', 62]
['580557: b_ficusc1s_f.p3d', 252]
['581017: b_ficusc1s_f.p3d', 121]
['19957e9a080# 580594: carservice_f.p3d Land_CarService_F', 219]
['581012: b_ficusc1s_f.p3d', 367]
['581219: b_ficusc1s_f.p3d', 72]
['579877: stone_8m_f.p3d', 1141]
['581773: mound01_8m_f.p3d', 1277]
['1786912: kestrel_f.p3d Kestrel_Random_F', 1325]
['579551: b_ficusc1s_f.p3d', 1402]
['579562: wired_fence_8m_f.p3d', 1479]
['579866: b_ficusc1s_f.p3d', 1646]
['581668: mound02_8m_f.p3d', 1680]
['579689: b_ficusc1s_f.p3d', 1781]
['579452: b_ficusc1s_f.p3d', 1843]
['580523: hbarrier_5_f.p3d', 263]
['580861: pavement_wide_f.p3d', 144]
['581353: mound01_8m_f.p3d', 574]
['580832: city_4m_f.p3d', 141]
['580668: stone_pillar_f.p3d', 218]
['581193: mound01_8m_f.p3d', 33]
['580836: pavement_wide_f.p3d', 741]
['580657: b_ficusc1s_f.p3d', 181]
['580978: pavement_narrow_f.p3d', 686]
['582504: mound01_8m_f.p3d', 1086]
['1784144: kestrel_f.p3d Kestrel_Random_F', 1167]
['581705: b_ficusc1s_f.p3d', 1267]
['580532: lamphalogen_off_f.p3d', 1311]
['579719: stone_8m_f.p3d', 1591]
['1992d101600# 579629: stone_gate_f.p3d Land_Stone_Gate_F', 1730]
['579616: wall_tin_4_2.p3d', 1758]
['580951: b_neriumo2d_f.p3d', 922]
['580939: t_fraxinusav2s_f.p3d', 456]
['581729: mound01_8m_f.p3d', 1005]
['51973: signt_infofirstaid.p3d', 750]
['580778: stone_8m_f.p3d', 157]
['580777: stone_8m_f.p3d', 161]
['582308: b_ficusc1s_f.p3d', 991]
['581089: pavement_narrow_f.p3d', 581]
['581746: stone_pillar_f.p3d', 1193]
['579929: pavement_wide_f.p3d', 1357]
['579542: t_ficusb2s_f.p3d', 1400]
['580989: pavement_narrow_f.p3d', 1424]
['579874: metalbarrel_f.p3d', 1703]
['580664: b_ficusc1s_f.p3d', 174]
['581088: pavement_narrow_f.p3d', 600]
['582246: b_ficusc1s_f.p3d', 919]
['1992d0f1600# 579967: lampdecor_f.p3d Land_LampDecor_F', 693]
['581039: stone_4m_f.p3d', 452]
['580754: b_ficusc1s_f.p3d', 129]
['1992d128100# 580797: i_addon_03_v1_f.p3d Land_i_Addon_03_V1_F', 411]
['580712: hbarrier_1_f.p3d', 2]
['580755: b_ficusc1s_f.p3d', 114]
['19957402080# 581036: i_garage_v2_f.p3d Land_i_Garage_V2_F', 280]
['580620: stone_8m_f.p3d', 184]
['581156: b_ficusc1s_f.p3d', 781]
['580897: pavement_wide_f.p3d', 1257]
['579685: b_ficusc1s_f.p3d', 1501]
['579854: woodencart_f.p3d', 1569]
['579765: b_neriumo2s_white_f.p3d', 1783]
['579466: b_neriumo2s_white_f.p3d', 1836]
['582293: workstand_f.p3d', 943]
['581054: stone_8m_f.p3d', 451]
['582298: b_ficusc1s_f.p3d', 997]
['580746: b_ficusc1s_f.p3d', 53]
['582279: mound01_8m_f.p3d', 1094]
['580005: mound01_8m_f.p3d', 1179]
['581725: mound01_8m_f.p3d', 1188]
['579986: b_ficusc1s_f.p3d', 1519]
['580651: b_ficusc1s_f.p3d', 197]
['580803: woodenbox_f.p3d', 393]
['581393: b_ficusc1s_f.p3d', 497]
['580949: city_pillar_f.p3d', 786]
['581157: b_ficusc1s_f.p3d', 832]
['582469: b_ficusc1s_f.p3d', 1068]
['579848: pavement_narrow_f.p3d', 1318]
['581691: mound01_8m_f.p3d', 1613]
['579497: b_ficusc1s_f.p3d', 1627]
['19957aeb580# 579630: i_stone_shed_v1_f.p3d Land_i_Stone_Shed_V1_F', 1639]
['579758: b_neriumo2s_white_f.p3d', 1846]
['581687: mound01_8m_f.p3d', 1865]
['580554: b_ficusc1s_f.p3d', 362]
['582345: wall_tin_4_2.p3d', 846]
['580906: stone_pillar_f.p3d', 940]
['582287: t_ficusb1s_f.p3d', 929]
['581201: mound02_8m_f.p3d', 36]
['580868: b_ficusc1s_f.p3d', 149]
['1995821a080# 580874: u_addon_02_v1_f.p3d Land_u_Addon_02_V1_F', 563]
['580960: b_ficusc1s_f.p3d', 699]
['581117: stone_8m_f.p3d', 668]
['579955: stone_8md_f.p3d', 1259]
['581708: b_ficusc1s_f.p3d', 1293]
['581709: b_ficusc1s_f.p3d', 1294]
['1790826: kestrel_f.p3d Kestrel_Random_F', 1575]
['581327: stone_pillar_f.p3d', 401]
['580952: b_ficusc1s_f.p3d', 620]
['580935: pallets_f.p3d', 625]
['581007: tableplastic_01_f.p3d', 279]
['581008: pavement_narrow_f.p3d', 98]
['582423: b_ficusc1s_f.p3d', 648]
['580788: stone_pillar_f.p3d', 128]
['1786909: kestrel_f.p3d Kestrel_Random_F', 1324]
['579890: crateswooden_f.p3d', 1499]
['579947: canal_wallsmall_10m_f.p3d', 1517]
['1790107: kestrel_f.p3d Kestrel_Random_F', 1521]
['579508: mound01_8m_f.p3d', 1562]
['581634: b_ficusc1s_f.p3d', 1796]
['581123: stone_8md_f.p3d', 666]
['580685: signt_nopassage.p3d', 361]
['581228: t_ficusb1s_f.p3d', 69]
['581147: b_ficusc2s_f.p3d', 443]
['581150: b_ficusc1s_f.p3d', 788]
['580561: b_ficusc1s_f.p3d', 247]
['580737: mound01_8m_f.p3d', 22]
['581395: b_ficusc1s_f.p3d', 707]
['581737: stone_4m_f.p3d', 1262]
['580004: mound01_8m_f.p3d', 1372]
['581780: mound02_8m_f.p3d', 1386]
['Agent 0x000001996E5E80C0', 1510]
['579757: b_neriumo2s_white_f.p3d', 1728]
['579821: grave_obelisk_f.p3d', 1780]
['580636: stone_4m_f.p3d', 222]
['580591: b_neriumo2d_f.p3d', 331]
['581208: stone_pillar_f.p3d', 86]
['580547: stone_8m_f.p3d', 249]
['581408: b_ficusc1s_f.p3d', 534]
['582425: b_ficusc1s_f.p3d', 661]
['1992d128b80# 581338: powerpolewooden_l_f.p3d Land_PowerPoleWooden_L_F', 529]
['579591: mound01_8m_f.p3d', 1205]
['580556: b_ficusc1s_f.p3d', 1216]
['582380: mound02_8m_f.p3d', 1298]
['581704: b_ficusc1s_f.p3d', 1384]
['1992d102080# 579625: i_stone_housebig_v3_f.p3d Land_i_Stone_HouseBig_V3_F', 1500]
['579633: stone_4m_f.p3d', 1669]
['579775: b_neriumo2s_white_f.p3d', 1715]
['580694: t_ficusb2s_f.p3d', 18]
['580631: stone_8m_f.p3d', 232]
['580799: barrelsand_f.p3d', 769]
['582428: b_ficusc1s_f.p3d', 657]
['580763: t_ficusb1s_f.p3d', 92]
['1780648: kestrel_f.p3d Kestrel_Random_F', 440]
['582223: stone_8m_f.p3d', 680]
['581325: stone_pillar_f.p3d', 485]
['581758: b_ficusc1s_f.p3d', 1095]
['19957e99600# 579833: stone_gate_f.p3d Land_Stone_Gate_F', 1219]
['579525: b_ficusc1s_f.p3d', 1564]
['579581: mound02_8m_f.p3d', 1566]
['581667: mound02_8m_f.p3d', 1673]
['579482: t_fraxinusav2s_f.p3d', 1844]
['581229: t_ficusb1s_f.p3d', 68]
['581383: stone_8m_f.p3d', 575]
['580614: stone_8md_f.p3d', 327]
['582432: b_ficusc2s_f.p3d', 876]
['581051: stone_8m_f.p3d', 425]
['582431: b_ficusc2s_f.p3d', 914]
['582496: mound02_8m_f.p3d', 971]
['581425: mound01_8m_f.p3d', 709]
['580838: pavement_wide_f.p3d', 738]
['1786208: kestrel_f.p3d Kestrel_Random_F', 1269]
['1992d100b80# 579631: i_stone_shed_v1_f.p3d Land_i_Stone_Shed_V1_F', 1582]
['579636: stone_8m_f.p3d', 1663]
['581636: b_ficusc1s_f.p3d', 1746]
['19957cc2b00# 579913: carousel_01_f.p3d Land_Carousel_01_F', 1769]
['581203: t_ficusb1s_f.p3d', 39]
['199575d1600# 581319: u_house_big_01_v1_f.p3d Land_u_House_Big_01_V1_F', 100]
['1781803: kestrel_f.p3d Kestrel_Random_F', 866]
['581730: mound01_8m_f.p3d', 848]
['582309: b_ficusc1s_f.p3d', 833]
['580770: mound01_8m_f.p3d', 109]
['1992d109600# 580835: i_shop_01_v2_f.p3d Land_i_Shop_01_V2_F', 477]
['579570: t_ficusb2s_f.p3d', 298]
['581396: b_ficusc1s_f.p3d', 505]
['582366: b_ficusc1s_f.p3d', 1017]
['582376: b_ficusc1s_f.p3d', 1038]
['579982: b_ficusc1s_f.p3d', 1271]
['579880: stone_8m_f.p3d', 1398]
['579914: stone_8m_f.p3d', 1524]
['581672: mound02_8m_f.p3d', 1525]
['579686: b_ficusc1s_f.p3d', 1632]
['51980: signt_infohotel.p3d', 512]
['581205: t_ficusb1s_f.p3d', 45]
['579618: t_quercusir2s_f.p3d', 170]
['51969: signt_stop.p3d', 253]
['579951: canal_wallsmall_10m_f.p3d', 1160]
['581770: b_ficusc1s_f.p3d', 1190]
['579879: stone_8m_f.p3d', 1346]
['581698: mound02_8m_f.p3d', 1682]
['581635: b_ficusc1s_f.p3d', 1747]
['582426: b_ficusc1s_f.p3d', 660]
['581359: b_ficusc1s_f.p3d', 420]
['581369: tyre_f.p3d', 419]
['581178: waterbarrel_f.p3d', 632]
['581361: b_ficusc1s_f.p3d', 484]
['581416: b_ficusc2s_f.p3d', 540]
['581111: stone_8m_f.p3d', 641]
['580956: b_ficusc1s_f.p3d', 605]
['581757: b_ficusc1s_f.p3d', 1100]
['1788787: kestrel_f.p3d Kestrel_Random_F', 1416]
['579984: b_ficusc1s_f.p3d', 1426]
['581676: b_ficusc1s_f.p3d', 1612]
['579539: mound02_8m_f.p3d', 1699]
['579733: mound01_8m_f.p3d', 1732]
['581565: b_ficusc2s_f.p3d', 1861]
['581226: t_ficusb1s_f.p3d', 78]
['199573ea080# 582347: unfinished_building_01_f.p3d Land_Unfinished_Building_01_F', 835]
['580538: fs_sign_f.p3d', 310]
['580941: garbagecontainer_closed_f.p3d', 765]
['581334: stone_8m_f.p3d', 417]
['582300: b_ficusc1s_f.p3d', 994]
['580898: pavement_wide_f.p3d', 1275]
['Agent 0x000001996E5E81C0', 1332]
['579989: b_ficusc1s_f.p3d', 1345]
['580931: cratesplastic_f.p3d', 1419]
['579726: stone_8m_f.p3d', 1444]
['581747: stone_pillar_f.p3d', 1511]
['579732: mound01_8m_f.p3d', 1714]
['579782: b_neriumo2s_white_f.p3d', 1721]
['581146: b_ficusc2s_f.p3d', 504]
['51975: signt_stop.p3d', 380]
['582356: barrelsand_f.p3d', 890]
['580933: campingtable_f.p3d', 735]
['580814: sacks_goods_f.p3d', 283]
['581742: stone_8m_f.p3d', 1175]
['579736: mound01_8m_f.p3d', 1515]
['581778: mound02_8m_f.p3d', 1537]
['579583: mound02_8m_f.p3d', 1554]
['579637: stone_8m_f.p3d', 1765]
['581384: stone_8m_f.p3d', 543]
['581155: b_ficusc1s_f.p3d', 789]
['580611: t_ficusb1s_f.p3d', 169]
['1992d10d600# 580613: stone_gate_f.p3d Land_Stone_Gate_F', 291]
['581005: chairplastic_f.p3d', 124]
['580981: pavement_narrow_f.p3d', 910]
['581430: mound01_8m_f.p3d', 753]
['582552: t_ficusb1s_f.p3d', 1058]
['581702: b_ficusc1s_f.p3d', 1263]
['580844: pavement_wide_f.p3d', 1486]
['579499: b_ficusc1s_f.p3d', 1626]
['579518: b_ficusc1s_f.p3d', 1750]
['581362: b_ficusc1s_f.p3d', 402]
['1780770: kestrel_f.p3d Kestrel_Random_F', 457]
['581107: stone_8m_f.p3d', 802]
['581169: b_ficusc1s_f.p3d', 631]
['581004: chairplastic_f.p3d', 126]
['581298: mound01_8m_f.p3d', 275]
['580998: sack_f.p3d', 567]
['579991: b_ficusc1s_f.p3d', 852]
['582286: t_ficusb1s_f.p3d', 1043]
['582269: b_ficusc1s_f.p3d', 1044]
['580577: mil_wallbig_4m_f.p3d', 1116]
['581732: mound02_8m_f.p3d', 1178]
['581736: mound02_8m_f.p3d', 1183]
['581767: b_ficusc1s_f.p3d', 1197]
['581706: b_ficusc1s_f.p3d', 1286]
['1789943: kestrel_f.p3d Kestrel_Random_F', 1491]
['581656: b_ficusc2s_f.p3d', 1526]
['579737: lampdecor_off_f.p3d', 1667]
['581665: mound02_8m_f.p3d', 1675]
['579781: b_neriumo2s_white_f.p3d', 1838]
['580627: stone_8m_f.p3d', 206]
['19957e85600# 579910: i_shop_02_v2_f.p3d Land_i_Shop_02_V2_F', 357]
['579966: t_ficusb2s_f.p3d', 853]
['580830: powerpolewooden_f.p3d', 737]
['581079: stone_pillar_f.p3d', 370]
['51985: signt_infohotel.p3d', 836]
['19957cc1600# 579997: i_stone_shed_v1_f.p3d Land_i_Stone_Shed_V1_F', 1137]
['579747: b_ficusc1s_f.p3d', 1496]
['579987: b_ficusc1s_f.p3d', 1498]
['579720: stone_8m_f.p3d', 1666]
['581660: b_ficusc2s_f.p3d', 1742]
['581655: b_ficusc2s_f.p3d', 1744]
['581214: b_ficusc1s_f.p3d', 64]
['581323: t_oleae2s_f.p3d', 91]
['581069: b_ficusc2s_f.p3d', 101]
['581373: tyre_f.p3d', 466]
['19957e82080# 581754: i_house_big_02_v3_f.p3d Land_i_House_Big_02_V3_F', 776]
['580671: stone_pillar_f.p3d', 438]
['580615: stone_8m_f.p3d', 185]
['581335: stone_8m_f.p3d', 79]
['580955: b_ficusc1s_f.p3d', 622]
['582483: t_oleae1s_f.p3d', 1030]
['581741: stone_8m_f.p3d', 1054]
['Agent 0x000001993484C100', 1134]
['579861: b_ficusc1s_f.p3d', 1243]
['580884: bench_02_f.p3d', 1337]
['1789158: kestrel_f.p3d Kestrel_Random_F', 1436]
['579940: pavement_wide_corner_f.p3d', 1652]
['580946: lampstreet_small_off_f.p3d', 728]
['51959: signt_infotaxirank.p3d', 694]
['580739: mound01_8m_f.p3d', 6]
['581167: b_ficusc1s_f.p3d', 870]
['582434: b_ficusc2s_f.p3d', 801]
['581119: stone_8m_f.p3d', 516]
['1782631: kestrel_f.p3d Kestrel_Random_F', 1121]
['580971: pavement_narrow_corner_f.p3d', 1253]
['579817: cages_f.p3d', 1581]
['579529: mound02_8m_f.p3d', 1615]
['579596: mound01_8m_f.p3d', 193]
['580867: b_ficusc1s_f.p3d', 433]
['580923: pipe_fence_4m_f.p3d', 766]
['580905: stone_pillar_f.p3d', 586]
['582445: stone_8m_f.p3d', 816]
['581182: metalbarrel_empty_f.p3d', 727]
['580742: metalbarrel_f.p3d', 1103]
['580682: b_ficusc2d_f.p3d', 1124]
['580972: pavement_narrow_f.p3d', 1255]
['579563: wired_fence_8m_f.p3d', 1403]
['581669: mound02_8m_f.p3d', 1454]
['579721: stone_8m_f.p3d', 1590]
['579868: b_ficusc1s_f.p3d', 1702]
['579412: city2_8m_f.p3d', 1812]
['580983: pavement_narrow_f.p3d', 907]
['581050: stone_8m_f.p3d', 389]
['580675: signt_commandeddirectionforward.p3d', 202]
['581316: tyres_f.p3d', 441]
['581407: b_ficusc1s_f.p3d', 643]
['582349: pipes_large_f.p3d', 951]
['582340: wall_tin_4_2.p3d', 987]
['51977: signt_sharpbendleft.p3d', 445]
['579876: stone_8m_f.p3d', 697]
['51970: signt_stop.p3d', 187]
['580572: mil_wallbig_4m_f.p3d', 1114]
['581751: t_ficusb1s_f.p3d', 1279]
['580878: garbagebin_01_f.p3d', 1389]
['579632: stone_4m_f.p3d', 1620]
['579903: concrete_smallwall_4m_f.p3d', 1645]
['581024: b_ficusc1s_f.p3d', 349]
['581136: stone_pillar_f.p3d', 646]
['580900: concrete_smallwall_8m_f.p3d', 854]
['582208: stone_4m_f.p3d', 1007]
['581213: b_ficusc1s_f.p3d', 58]
['580866: b_ficusc1s_f.p3d', 379]
['19957400b80# 581143: i_stone_shed_v1_f.p3d Land_i_Stone_Shed_V1_F', 388]
['581379: bench_02_f.p3d', 570]
['582341: wall_tin_4_2.p3d', 981]
['579922: stone_8m_f.p3d', 1140]
['581769: b_ficusc1s_f.p3d', 1191]
['19957aea080# 579663: i_house_big_01_v3_f.p3d Land_i_House_Big_01_V3_F', 1412]
['579878: stone_8m_f.p3d', 1429]
['581670: mound02_8m_f.p3d', 1448]
['579745: b_ficusc1s_f.p3d', 1495]
['579952: canal_wallsmall_10m_f.p3d', 1522]
['1790695: kestrel_f.p3d Kestrel_Random_F', 1548]
['580765: t_ficusb1s_f.p3d', 130]
['580718: b_ficusc1s_f.p3d', 23]
['580922: pipe_fence_4m_f.p3d', 603]
['580728: mound02_8m_f.p3d', 5]
['581057: t_ficusb2s_f.p3d', 118]
['581405: b_ficusc1s_f.p3d', 501]
['581342: mound01_8m_f.p3d', 482]
['581196: mound01_8m_f.p3d', 38]
['582207: stone_4m_f.p3d', 775]
['582472: b_ficusc1s_f.p3d', 1070]
['579614: b_ficusc1s_f.p3d', 1415]
['579517: b_ficusc1s_f.p3d', 1686]
['199575d2080# 581035: i_shed_ind_f.p3d Land_i_Shed_Ind_F', 89]
['580697: b_ficusc2d_f.p3d', 14]
['582224: stone_pillar_f.p3d', 937]
['582361: mound02_8m_f.p3d', 985]
['582241: wall_tin_4_2.p3d', 883]
['581423: mound01_8m_f.p3d', 868]
['1992d103580# 579911: powerpolewooden_l_f.p3d Land_PowerPoleWooden_L_F', 1430]
['579641: stone_8m_f.p3d', 1762]
['581633: b_ficusc1s_f.p3d', 1797]
['579445: stone_8md_f.p3d', 1831]
['581140: t_ficusb2s_f.p3d', 430]
['580848: pavement_wide_f.p3d', 739]
['582342: wall_tin_4_2.p3d', 946]
['580892: pavement_wide_f.p3d', 900]
['580720: b_ficusc1s_f.p3d', 313]
['581432: mound02_8m_f.p3d', 755]
['580854: pavement_wide_f.p3d', 435]
['579852: pavement_narrow_f.p3d', 1341]
['1789637: kestrel_f.p3d Kestrel_Random_F', 1481]
['581831: t_ficusb1s_f.p3d', 1543]
['579503: b_ficusc1s_f.p3d', 1624]
['579826: t_fraxinusav2s_f.p3d', 1665]
['581677: b_ficusc1s_f.p3d', 1679]
['579607: b_ficusc1s_f.p3d', 296]
['581387: t_ficusb1s_f.p3d', 579]
['582459: t_ficusb2s_f.p3d', 961]
['581398: b_ficusc1s_f.p3d', 713]
['581417: b_ficusc2s_f.p3d', 538]
['199575d0100# 582346: i_garage_v2_f.p3d Land_i_Garage_V2_F', 823]
['582437: mound02_8m_f.p3d', 962]
['581421: mound01_8m_f.p3d', 704]
['582285: t_ficusb1s_f.p3d', 1099]
['580575: mil_wallbig_4m_f.p3d', 1112]
['581716: mound01_8m_f.p3d', 1285]
['19957cc2080# 579836: u_house_small_01_v1_f.p3d Land_u_House_Small_01_V1_F', 1348]
['579579: mound02_8m_f.p3d', 1414]
['579743: b_ficusc1s_f.p3d', 1654]
['579729: mound02_8m_f.p3d', 1731]
['579487: bench_02_f.p3d', 1776]
['579464: b_neriumo2s_white_f.p3d', 1834]
['579769: b_neriumo2s_white_f.p3d', 1860]
['580766: t_ficusb1s_f.p3d', 155]
['580769: mound01_8m_f.p3d', 93]
['582455: t_ficusb1s_f.p3d', 955]
['580910: stone_8m_f.p3d', 892]
['1992d123580# 580821: i_addon_03mid_v1_f.p3d Land_i_Addon_03mid_V1_F', 412]
['579609: b_ficusc1s_f.p3d', 178]
['581116: stone_8m_f.p3d', 667]
['580744: b_ficusc1s_f.p3d', 67]
['582264: b_ficusc1s_f.p3d', 1041]
['580571: mil_wallbig_4m_f.p3d', 1115]
['579909: stone_pillar_f.p3d', 1397]
['581159: b_ficusc1s_f.p3d', 830]
['581118: stone_8m_f.p3d', 584]
['582440: mound02_8m_f.p3d', 959]
['1992d10eb00# 580677: fs_roof_f.p3d Land_fs_roof_F', 303]
['581134: stone_pillar_f.p3d', 545]
['582252: b_ficusc1s_f.p3d', 878]
['582339: wall_tin_4_2.p3d', 844]
['581094: pavement_narrow_f.p3d', 602]
['580751: b_ficusc1s_f.p3d', 65]
['582278: mound01_8m_f.p3d', 1023]
['582262: b_ficusc1s_f.p3d', 1089]
['579975: b_ficusc1s_f.p3d', 1172]
['1787950: kestrel_f.p3d Kestrel_Random_F', 1362]
['579524: b_ficusc1s_f.p3d', 1469]
['580950: city_pillar_f.p3d', 1514]
['579695: b_ficusc1s_f.p3d', 1589]
['579932: pavement_wide_f.p3d', 1649]
['579516: mound01_8m_f.p3d', 1685]
['579698: b_ficusc1s_f.p3d', 1708]
['582362: mound02_8m_f.p3d', 983]
['582344: wall_tin_4_2.p3d', 843]
['580719: b_ficusc1s_f.p3d', 25]
['579959: stone_pillar_f.p3d', 895]
['580747: b_ficusc1s_f.p3d', 96]
['580893: pavement_wide_f.p3d', 909]
['581015: b_ficusc1s_f.p3d', 347]
['581138: t_ficusb2s_f.p3d', 508]
['581368: tyre_f.p3d', 418]
['580940: crateswooden_f.p3d', 861]
['580546: stone_8m_f.p3d', 243]
['582475: b_ficusc1s_f.p3d', 1066]
['580578: mil_wallbig_4m_f.p3d', 1117]
['1786495: kestrel_f.p3d Kestrel_Random_F', 1284]
['579927: stone_4m_f.p3d', 1451]
['579640: stone_8m_f.p3d', 1695]
['580606: t_ficusb1s_f.p3d', 168]
['581231: mound02_8m_f.p3d', 87]
['581110: stone_8m_f.p3d', 467]
['580833: city_4m_f.p3d', 325]
['581027: b_ficusc1s_f.p3d', 406]
['580977: pavement_narrow_f.p3d', 687]
['581724: mound01_8m_f.p3d', 1287]
['579928: stone_4m_f.p3d', 1445]
['579557: mound01_8m_f.p3d', 1754]
['1781298: kestrel_f.p3d Kestrel_Random_F', 701]
['580522: hbarrier_5_f.p3d', 262]
['582302: b_ficusc1s_f.p3d', 957]
['580533: b_neriumo2d_f.p3d', 266]
['582325: stone_pillar_f.p3d', 924]
['580735: mound01_8m_f.p3d', 28]
['582326: stone_pillar_f.p3d', 875]
['581025: b_ficusc1s_f.p3d', 351]
['582259: b_ficusc1s_f.p3d', 917]
['582260: b_ficusc1s_f.p3d', 930]
['579600: b_ficusc1s_f.p3d', 1119]
['580818: cratesplastic_f.p3d', 1333]
['579613: b_ficusc1s_f.p3d', 1485]
['579706: garbagebin_01_f.p3d', 1503]
